,Project Title,University,Description,field,Tuition,Rate,City,Duration,State,County,LATITUDE,LONGITUDE,PostPhdSalary,PostPhdEmploy,World Rank,USA Rank,Glassdoor Star,Salary_high,Salary_low,Salary/Stipend,State Avg Salary/Stipend,Required Income,Food,Housing,Transportation,Medical,Enough Income
1361,Communication Sciences and Disorders,University of Georgia,"The PhD in Communication Sciences and Disorders at University of Georgia provides students with core and tailored coursework in evidenced-based practices, research, and college teaching / supervision in preparation for careers in academic, research, and clinical settings.",education-training,,,Athens,3.0,Georgia,Clarke,33.9508,-83.3689,"72,000",86.0,1400,52,4.2,45000.0,31000.0,37471.0,38584.0,36862.0,3926.0,11227.0,5477.0,3198.0,Yes
1362,Health Education and Promotion,The University of Alabama,"The PhD program in Health Education and Promotion at The University of Alabama is designed to provide students with coursework and practical experiences needed to become leading faculty, researchers, and practitioners in health education and health promotion.",education-training,28927.0, year,Tuscaloosa,3.0,Alabama,Tuscaloosa,33.2348,-87.5268,"72,000",86.0,1400,108,4.2,46000.0,30000.0,37350.0,37394.0,32547.0,3926.0,7954.0,5477.0,2998.0,Yes
1363,Curriculum and Instruction,Kansas State University,The Curriculum and Instruction program is offered by Kansas State University.,education-training,19791.0, year,Manhattan,3.0,New York,New York,40.7834,-73.9662,"72,000",86.0,601,152,4.2,51000.0,33000.0,41229.0,42830.0,44627.0,4559.0,17922.0,4470.0,3207.0,No
1364,Transformative Action in Education,University of The Pacific,We offer a unique experience for educational practitioners interested in the study and practice of transformative leadership with the Transformative Action in Education program at University of the Pacific.,education-training,19566.0, year,Stockton,3.0,California,San Joaquin,37.9765,-121.3109,"72,000",86.0,1400,363,,,,,45119.0,44175.0,4686.0,17076.0,5316.0,3136.0,No
1365,English,Southern Methodist University,We admit students to the English Ph.D. program at Southern Methodist University who have been awarded a B.A. or M.A. degree.,education-training,2349.0, module,Dallas,,Texas,Dallas,32.7935,-96.7667,"72,000",86.0,1400,122,4.1,50000.0,32000.0,39900.0,38452.0,34931.0,3926.0,10745.0,5477.0,3058.0,Yes
1366,Special Education,The University of Alabama,"The Ph.D. program in the Department of Special Education and Multiple Abilities (SPEMA) from The University of Alabama is non-categorical, suiting the interests of the student and the expertise of the faculty.",education-training,28927.0, year,Tuscaloosa,3.0,Alabama,Tuscaloosa,33.2348,-87.5268,"72,000",86.0,1400,108,4.2,46000.0,30000.0,37350.0,37394.0,32547.0,3926.0,7954.0,5477.0,2998.0,Yes
1367,Psychology,Cornell University,"In the course of studying for and completing a PhD in the field of Psychology,students will work toward mastering a broad understanding of causes of behavior, with a particular emphasis within at least one of our three areas of study: Social and Personality, Perception, Cognition and Development, and Behavioral and Evolutionary Neuroscience. The Psychology program is offered by Cornell University.",education-training,27124.0, year,Ithaca,4.0,New York,Tompkins,42.4442,-76.5032,"72,000",86.0,19,4,4.4,52000.0,34000.0,41741.0,42830.0,44627.0,4559.0,17922.0,4470.0,3207.0,No
1368,"Education - Higher Education Leadership, Management and Policy",Walden University,"The PhD in Education - Higher Education Leadership, Management and Policy program from Walden University offers educators and administrators the opportunity to grow as scholars and innovators in higher education. Benefit from access to distinguished faculty members and student support services.",education-training,,,Online,3.0,,,,,"72,000",86.0,1400,1800,3.3,47000.0,32000.0,38878.0,,,,,,,No
1369,Nursing Practice with an Emphasis in Educational Leadership,Grand Canyon University,The Doctor of Nursing Practice with an Emphasis in Educational Leadership program at Grand Canyon University empowers graduates to initiate evidence-based practice strategies that enhance health care and improve patient outcomes.,education-training,29584.0, full,Online,2.0,,,,,"72,000",86.0,1400,262,,,,,,,,,,,No
1370,Educational Psychology,Regent University,"The Doctor of Education (Ed.D.)– Educational Psychology at Regent University allows for a broad area of academic inquiry with topics like psychological underpinnings of learning, cognitive strategies for learning in children and adults, creating environments conducive to learning, brain research, teacher education, faculty roles; and professional development in varied settings.",education-training,6410.0, year,Online,7.0,,,,,"72,000",86.0,1400,469,,,,,,,,,,,No
1371,Educational Leadership,University of Georgia,This program at University of Georgia provides candidates with credentials to apply for Tier II Educational Leadership Certification. Tier II educators may serve as principals or district level leaders who supervise principals. Tier I Educational Leadership Certification is a program prerequisite.,education-training,,,Athens,3.0,Georgia,Clarke,33.9508,-83.3689,"72,000",86.0,1400,52,4.2,45000.0,31000.0,37471.0,38584.0,36862.0,3926.0,11227.0,5477.0,3198.0,Yes
1372,Higher Education and Student Affairs,The University of Iowa,"At The University of Iowa, we offer our graduate students a degree in Higher Education and Student Affairs.",education-training,28973.0, year,Iowa City,,Iowa,Johnson,41.6559,-91.5303,"72,000",86.0,1400,1800,,,,,37862.0,32713.0,4010.0,7374.0,5356.0,3416.0,No
1373,Educational Psychology,University of Missouri–St. Louis,"The Educational Psychology program from University of Missouri–St. Louis examines how the social, emotional, and cognitive processes as well as technology are involved in learning for children and adults alike.",education-training,,,Saint Louis,4.0,,,,,"72,000",86.0,1400,1800,,,,,,,,,,,No
1374,Developmental Education (Learning Support Concentration),Texas State University,"Through research, scholarship, and professional experiences, the Developmental Education (Learning Support Concentration) program from Texas State University effects change in the areas of developmental literacy, developmental mathematics, and learning support.",education-training,,,San Marcos,2.0,California,San Diego,33.135,-117.1743,"72,000",86.0,1001,196,,,,,45119.0,44175.0,4686.0,17076.0,5316.0,3136.0,No
1375,Education,University of North Carolina Chapel Hill,"At University of North Carolina Chapel Hill, you can Join a collaborative community of scholars intent on pursuing research agendas that explore the toughest issues in Education and discover new understandings that improve individual learning and the effectiveness of schools in helping every student achieve his or her potential.",education-training,26521.0, year,Chapel Hill,8.0,North Carolina,Orange,35.9271,-79.0391,"72,000",86.0,1400,1800,,,,,39172.0,35012.0,3926.0,9997.0,5477.0,3049.0,No
1376,Elementary Education,University of West Georgia,Our Educational Specialist (Ed. S.) degree program in Elementary Education from University of West Georgia is designed to prepare teacher leaders who are instrumental in the creation and implementation of instructional policies and practices that ensure that all students can and do learn.,education-training,,,Online,1.0,,,,,"72,000",86.0,1400,467,,,,,,,,,,,No
1377,Educational Leadership,University of Georgia,This program at University of Georgia provides candidates with credentials to apply for Tier II Educational Leadership Certification. Tier II educators may serve as principals or district level leaders who supervise principals. Tier I Educational Leadership Certification is a program prerequisite,education-training,,,Lawrenceville,3.0,Georgia,Gwinnett,33.9523,-83.9932,"72,000",86.0,1400,52,4.2,45000.0,31000.0,37471.0,38584.0,36862.0,3926.0,11227.0,5477.0,3198.0,Yes
1378,Art and Archaeology,Princeton University,"The graduate curriculum in the Art and Archaeology program at Princeton University is one of the oldest in the country, and for many decades the department has played a leading role in training teachers, scholars, and curators in this area. At Princeton, graduate work in this discipline has certain special advantages.",education-training,55545.0, year,Princeton,5.0,California,Colusa,39.4016,-122.0194,"72,000",86.0,6,17,4.4,52000.0,34000.0,41968.0,45119.0,44175.0,4686.0,17076.0,5316.0,3136.0,No
1379,Second Language Instruction,American College of Education,"As a student in the Online Ed.D. in Second Language Instruction program at American College of Education, you will gain experience as a scholar practitioner and expand your knowledge of innovative curriculum, current technology, and instruction methods that are relevant to the educational needs of a language learner.",education-training,6282.0, year,Online,3.5,,,,,"72,000",86.0,1400,1800,,,,,,,,,,,No
1380,"Social, Emotional, and Behavioral Health and Inclusive Education",The University of Vermont,"Graduates in the Social, Emotional, and Behavioral Health and Inclusive Education program from The University of Vermont will be highly skilled in conducting meaningful research and prepare resilient educators and leaders to ensure the social, emotional and behavioral health of future generations.",education-training,16944.0, year,Burlington,7.0,North Carolina,Alamance,36.076,-79.4685,"72,000",86.0,1400,1800,,,,,39172.0,35012.0,3926.0,9997.0,5477.0,3049.0,No
1381,Educational Leadership and Management (Online),Drexel University,"The need for educator-leaders – primed to transform the practice and invent the future of learning – is more critical than ever. The Educational Leadership and Management (Online) program of Drexel University fosters personal leadership growth, empowering you to move ahead professionally.",education-training,24918.0, year,Online,3.0,,,,,"72,000",86.0,401,99,4.1,50000.0,32000.0,39598.0,,,,,,,No
1382,Language and Literacy Education,University of Georgia,This Language and Literacy Education program from University of Georgia prepares graduates to construct knowledge that leads and advances the field of language education. Students may specialize in areas including English Education; Reading Education: Children’s Literature and Language Arts P-5 or 6-12; World Language Education; and Teaching English to Speakers of Other Languages (TESOL).,education-training,,,Athens,3.0,Georgia,Clarke,33.9508,-83.3689,"72,000",86.0,1400,52,4.2,45000.0,31000.0,37471.0,38584.0,36862.0,3926.0,11227.0,5477.0,3198.0,Yes
1383,Organization and Leadership,University of San Francisco,"Transform your organization through a learning perspective. Lead your school, agency, department, or nonprofit through justice, service, and participation. We offer a phd degree in Organization and Leadership at the University of San Francisco.",education-training,,,San Francisco,4.0,California,San Francisco,37.7558,-122.4449,"72,000",86.0,1400,205,,,,,45119.0,44175.0,4686.0,17076.0,5316.0,3136.0,No
1384,Literacy Studies,"University of Nevada, Reno","Literacy Studies at University of Nevada, Reno and its intersection with English language learning and issues of culture and diversity are the foci of this emphasis area.",education-training,15210.0, year,Reno,8.0,Nevada,Washoe,39.5497,-119.8483,"72,000",86.0,1400,144,4.1,55000.0,35000.0,43793.0,45090.0,35399.0,4686.0,10445.0,5316.0,2961.0,Yes
1385,"Educational Psychology and Research, Evaluation, Statistics, and Measurement",University of Tennessee Knoxville,"This concentration combines elements of theory, methods, and hands-on applications to provide students with relevant knowledge, skills, and dispositions for engaging in research, teaching, and/or the practice of evaluation, statistics, or measurement. The Educational Psychology and Research, Evaluation, Statistics, and Measurement program is offered by the University of Tennessee Knoxville.",education-training,,,Knoxville,4.0,Tennessee,Knox,35.9692,-83.9496,"72,000",86.0,1400,1800,4.1,48000.0,31000.0,38579.0,41982.0,33257.0,3926.0,9191.0,5477.0,3213.0,Yes
1386,Counselor Education,The University of New Mexico,The PhD in Counselor Education Program at The University of New Mexico is intended to enable qualifying master’s level counselors to extend their career opportunities.,education-training,22239.0, year,Albuquerque,,New Mexico,Bernalillo,35.1054,-106.6465,"72,000",86.0,1400,1800,,,,,44859.0,33435.0,4686.0,8157.0,5316.0,3282.0,No
1387,"Doctor of Education (Ed.D.) - Curriculum, Instruction and Assessment",Walden University,"Do you aspire to drive transformative educational change in your institution and community? Designed for practitioners and administrators from P-12 to higher education, the Doctor of Education (Ed.D.) - Curriculum, Instruction and Assessment program from Walden University offers flexibility and choices to meet your needs—even if those needs change along the way.",education-training,,,Online,2.0,,,,,"72,000",86.0,1400,1800,3.3,47000.0,32000.0,38878.0,,,,,,,No
1388,Audiology,University of The Pacific,Use science and clinical practice to connect people to the world of sound. Learn more with the Audiology program from University of the Pacific.,education-training,37391.0, year,Stockton,3.0,California,San Joaquin,37.9765,-121.3109,"72,000",86.0,1400,363,,,,,45119.0,44175.0,4686.0,17076.0,5316.0,3136.0,No
1389,Special Education,The University of Alabama,"Through The University of Alabama’s online Doctor of Education (EdD) in Special Education and Multiple Abilities, you can prepare to be a leader who transforms the educational landscape for children and youth with exceptional needs.",education-training,28927.0, year,Online,3.0,,,,,"72,000",86.0,1400,108,4.2,46000.0,30000.0,37350.0,,,,,,,No
1390,Psychology,University of Utah,This Psychology program is offered at the University of Utah.,education-training,18033.0, year,Salt Lake City,4.0,Utah,Salt Lake,40.7776,-111.9311,"72,000",86.0,1400,1800,4.2,56000.0,34000.0,43742.0,41861.0,36225.0,4686.0,10318.0,5316.0,2980.0,Yes
1391,"Arts Administration, Education and Policy",The Ohio State University,"Representing a diverse community of critical inquiry, the PhD in Arts Administration at the The Ohio State University, Education and Policy prepares students for scholarship and practice through a unique opportunity to pursue advanced research and study across the fields of Art Education and Arts Policy and Administration.",education-training,36456.0, year,Columbus,5.0,Ohio,Franklin,39.9862,-82.9855,"72,000",86.0,1400,40,4.1,52000.0,30000.0,39678.0,41441.0,31890.0,4010.0,7593.0,5356.0,3262.0,Yes
1392,Nursing - Education,Walden University,"Advance your career as a nurse researcher, educator, or policymaker with the research-focused PhD in Nursing - Education program from Walden University.",education-training,,,Online,2.5,,,,,"72,000",86.0,1400,1800,3.3,47000.0,32000.0,38878.0,,,,,,,No
1393,Professional Leadership,University of Houston,The Ed.D. in Professional Leadership at University of Houston is a 51-hour doctoral program (within the Department of Curriculum and Instruction) focusing on research and applied skills for educators grappling with current issues in education in urban contexts.,education-training,8384.0, year,Houston,5.0,Texas,Harris,29.786,-95.3885,"72,000",86.0,1400,78,4.1,50000.0,32000.0,39767.0,38452.0,34931.0,3926.0,10745.0,5477.0,3058.0,Yes
1394,Educational Administration and Policy,University of Georgia,"The PhD in Educational Administration and Policy from University of Georgia prepares graduates for careers in educational policy analysis or leadership within P-12 educational research, government, academia or non-profit sectors.",education-training,,,Athens,3.0,Georgia,Clarke,33.9508,-83.3689,"72,000",86.0,1400,52,4.2,45000.0,31000.0,37471.0,38584.0,36862.0,3926.0,11227.0,5477.0,3198.0,Yes
1395,"Educational Administration, Curriculum and Supervision",University of Oklahoma,"Educational Administration, Curriculum and Supervision from University of Oklahoma is highly individualized, and is the result of collaborative planning involving the student, major advisor, and doctoral committee.",education-training,,,Norman,3.0,Oklahoma,Cleveland,35.2335,-97.3471,"72,000",86.0,1400,1800,4.1,54000.0,34000.0,42946.0,32766.0,32228.0,3926.0,7875.0,5477.0,2991.0,Yes
1396,Educational Leadership and Policy Studies,The University of Vermont,"Welcome! The University of Vermont's Ph.D. program in Educational Leadership and Policy Studies is a multidisciplinary program that seeks to examine complex educational and social problems through the integration of multiple theoretical, methodological, and disciplinary lenses.",education-training,1981.0, year,Burlington,7.0,North Carolina,Alamance,36.076,-79.4685,"72,000",86.0,1400,1800,,,,,39172.0,35012.0,3926.0,9997.0,5477.0,3049.0,No
1397,Ecclesial Leadership,Regent University,Our Ph.D. in Organizational Leadership – Ecclesial Leadership at Regent University is a research-based terminal degree taught from a Christian worldview.,education-training,8038.0, year,Online,7.0,,,,,"72,000",86.0,1400,469,,,,,,,,,,,No
1398,Principal Bridge - Educational Leadership,Maryville University,Maryville’s highly acclaimed principal certificate program is for certified teachers with full-time classroom teaching experience with master’s degrees who seek an administrator role. We offer a EdD degree in Principal Bridge - Educational Leadership at the Maryville University.,education-training,15260.0, year,Saint Louis,1.0,,,,,"72,000",86.0,1400,332,,,,,,,,,,,No
1399,Educational Leadership,California State University Long Beach,The Educational Leadership Doctorate program at California State University Long Beach is designed for working professionals seeking training to become highly qualified educational leaders for P-12 school districts or community colleges.,education-training,10885.0, year,Long Beach,3.0,California,Los Angeles,33.7977,-118.167,"72,000",86.0,1001,1800,,,,,45119.0,44175.0,4686.0,17076.0,5316.0,3136.0,No
1400,Clinical Psychology,The New School,The PhD in Clinical Psychology at The New School is accredited by the Commission on Accreditation of the American Psychological Association.,education-training,37404.0, year,New York City,5.0,,,,,"72,000",86.0,1400,159,,,,,,,,,,,No
1401,Engineering Education,Louisiana Tech University,Learn to teach future professional engineers with this phd degree in Engineering Education offered at the Louisiana Tech University.,education-training,,,Ruston,3.0,Louisiana,Lincoln,32.5328,-92.6363,"72,000",86.0,801,444,4.2,48000.0,32000.0,39052.0,39661.0,32993.0,3926.0,8299.0,5477.0,3274.0,Yes
1402,Coaching and Teaching Studies,West Virginia University,"The EdD at West Virginia University is a professional doctorate, the purpose of which is to prepare Coaching and Teaching Studies program graduates for careers as organizational leaders across a range of school, university and community-based settings.",education-training,23982.0, year,Morgantown,5.0,West Virginia,Monongalia,39.6383,-79.9464,"72,000",86.0,601,116,4.1,47000.0,29000.0,36843.0,36843.0,32381.0,3926.0,7522.0,5477.0,3375.0,Yes
1403,Special Education and Disability Studies,"University of Nevada, Reno","Study in this area of emphasis on issues of disability as they apply to education and human service agencies. Students in the Special Education and Disability Studies program from University of Nevada, Reno may focus broadly across disability areas and age ranges, or they may focus more narrowly.",education-training,15210.0, year,Reno,8.0,Nevada,Washoe,39.5497,-119.8483,"72,000",86.0,1400,144,4.1,55000.0,35000.0,43793.0,45090.0,35399.0,4686.0,10445.0,5316.0,2961.0,Yes
1404,Educational Leadership and Management (Philadelphia) (Online,Drexel University,The Educational Leadership and Management (Philadelphia) (Online) program from Drexel University teaches you to navigate and lead in today’s ever-changing educational landscape.,education-training,18688.0, year,Philadelphia,1.0,Pennsylvania,Philadelphia,40.0077,-75.1339,"72,000",86.0,401,99,4.1,50000.0,32000.0,39598.0,38295.0,34128.0,4559.0,9684.0,4470.0,3178.0,Yes
1405,"Education - Learning, Instruction, and Innovation",Walden University,"The PhD in Education - Learning, Instruction, and Innovation program from Walden University offers educators and administrators the opportunity to grow as scholars and innovators in higher education. Benefit from access to distinguished faculty members and student support services.",education-training,,,Online,3.0,,,,,"72,000",86.0,1400,1800,3.3,47000.0,32000.0,38878.0,,,,,,,No
1406,Communication Sciences and Disorders,Northwestern University,The Communication Sciences and Disorders program at Northwestern University brings together researchers studying mechanisms and disorders of communication in an interdisciplinary setting.,education-training,8592.0, year,Evanston,5.0,Illinois,Cook,42.0464,-87.6943,"72,000",86.0,22,36,4.2,49000.0,32000.0,39450.0,41136.0,37641.0,4010.0,11160.0,5356.0,3287.0,Yes
1407,Curriculum and Instruction,American College of Education,This customizable Doctor of Education in Curriculum and Instruction degree at the American College of Education is designed to help you advance your understanding of a wide range of curriculum development and instructional methods that can improve teaching and learning in diverse educational settings.,education-training,7329.0, year,Online,3.0,,,,,"72,000",86.0,1400,1800,,,,,,,,,,,No
1408,"Science of Psychology, Data, and Research in Education",University of Oklahoma,"The University of Oklahoma has a rich legacy of providing an exceptional experience to Science of Psychology, Data, and Research in Education students.",education-training,,,Norman,3.0,Oklahoma,Cleveland,35.2335,-97.3471,"72,000",86.0,1400,1800,4.1,54000.0,34000.0,42946.0,32766.0,32228.0,3926.0,7875.0,5477.0,2991.0,Yes
1409,"Educational Leadership and Management (Washington, D.C.) (Online)",Drexel University,"The Educational Leadership and Management (Washington, D.C.) (Online) program from Drexel University you can be the change agent your organization needs.",education-training,74753.0, year,Philadelphia,1.0,Pennsylvania,Philadelphia,40.0077,-75.1339,"72,000",86.0,401,99,4.1,50000.0,32000.0,39598.0,38295.0,34128.0,4559.0,9684.0,4470.0,3178.0,Yes
1410,Special Education,University of Washington,"The Special Education Ph.D. program at University of Washington prepares leaders with commitments to inclusive education, and who can bring systemic change to educational and community settings specifically focused on issues of access, inclusion, and equity for children and youth (birth-21) with disabilities and their families.",education-training,31529.0, year,Seattle,,Washington,King,47.6211,-122.3244,"72,000",86.0,1400,7,4.2,50000.0,31000.0,39715.0,40673.0,40722.0,4686.0,15076.0,5316.0,2779.0,No
1411,English Language and Literature,University of Washington,Our MA/PhD in English Language and Literature at University of Washington is an integrated program that allows students to earn an MA on the way to the PhD.,education-training,32900.0, year,Seattle,,Washington,King,47.6211,-122.3244,"72,000",86.0,1400,7,4.2,50000.0,31000.0,39715.0,40673.0,40722.0,4686.0,15076.0,5316.0,2779.0,No
1412,Science Education,Texas Christian University,"The Ph.D. in Educational Studies: Science Education at Texas Christian University is distinctive and interdisciplinary in that it is designed with three foci: (a) the field of education (including science education & educational psychology), (b) educational research methodology, and (c) science content.",education-training,,,Fort Worth,3.0,Texas,Tarrant,32.7817,-97.3474,"72,000",86.0,1400,273,,,,,38452.0,34931.0,3926.0,10745.0,5477.0,3058.0,No
1413,School Psychology,University at Albany,"The mission of the PsyD School Psychology Program at the University at Albany is to prepare life-long learners who engage in the reflective practice of school psychology by integrating psychological theory, research, and practice to contribute to the development of human potential in children and families while respecting issues of cultural and individual diversity.",education-training,23387.0, year,Albany,6.0,New York,Albany,42.6664,-73.7987,"72,000",86.0,1400,1800,,,,,42830.0,44627.0,4559.0,17922.0,4470.0,3207.0,No
1414,Special Education,University of Oklahoma,"At Special Education from University of Oklahoma students create a plan of study that includes core special education research and elective coursework, residency research, teaching and service activities, and dissertation research. Doctoral students who enter with a master’s degree typically complete the program between four years (full-time) and five-to-seven years (part-time).",education-training,,,Norman,3.0,Oklahoma,Cleveland,35.2335,-97.3471,"72,000",86.0,1400,1800,4.1,54000.0,34000.0,42946.0,32766.0,32228.0,3926.0,7875.0,5477.0,2991.0,Yes
1415,Education - Early Childhood Leadership and Advocacy,Walden University,The PhD in Education - Early Childhood Leadership and Advocacy program from Walden University offers educators and administrators the opportunity to grow as scholars and innovators in higher education. Benefit from access to distinguished faculty members and student support services.,education-training,,,Online,3.0,,,,,"72,000",86.0,1400,1800,3.3,47000.0,32000.0,38878.0,,,,,,,No
1416,Educational Theory and Practice,West Virginia University,"The PhD in Educational Theory and Practice at West Virginia University meets the interests and professional needs of future scholars in the areas of teaching and learning (across various subjects, in- and out-of-school contexts and ages/grades); teacher education and development (across various subjects and professional levels); and social, cultural and critical studies in education.",education-training,23982.0, year,Morgantown,5.0,West Virginia,Monongalia,39.6383,-79.9464,"72,000",86.0,601,116,4.1,47000.0,29000.0,36843.0,36843.0,32381.0,3926.0,7522.0,5477.0,3375.0,Yes
1417,Curriculum and Instruction,"University of Nevada, Reno","We offer our graduate students a phd degree in Curriculum and Instruction at the University of Nevada, Reno.",education-training,15210.0, year,Reno,8.0,Nevada,Washoe,39.5497,-119.8483,"72,000",86.0,1400,144,4.1,55000.0,35000.0,43793.0,45090.0,35399.0,4686.0,10445.0,5316.0,2961.0,Yes
1418,Education Specialist - Special Education (Non-Licensure),Walden University,"Take your career further, faster, by earning an Education Specialist - Special Education (Non-Licensure) degree from Walden University. The Special Education (Non-Licensure) program from Walden University can prepare you to pursue new leadership roles while you lay the groundwork to pursue a doctorate, if you so choose.",education-training,,,Online,0.5,,,,,"72,000",86.0,1400,1800,3.3,47000.0,32000.0,38878.0,,,,,,,No
1419,Advanced Educational Leadership,Regent University,Regent University’s Doctor of Philosophy in Education – Advanced Educational Leadership is designed for students who wish to advance their careers as educational leaders.,education-training,7040.0, year,Online,7.0,,,,,"72,000",86.0,1400,469,,,,,,,,,,,No
1420,"Adult, Occupational and Continuing Education",Kansas State University,"Create a pathway to future success as a researcher or practitioner in adult learning with the online Adult, Occupational and Continuing Education program at Kansas State University.",education-training,14068.0, year,Manhattan,3.0,New York,New York,40.7834,-73.9662,"72,000",86.0,601,152,4.2,51000.0,33000.0,41229.0,42830.0,44627.0,4559.0,17922.0,4470.0,3207.0,No
1421,Leadership Studies - Health Communication and Leadership,Louisiana State University,The Leadership Studies - Health Communication and Leadership program at Louisiana State University is offered through LSU Shreveport. The Leadership Studies program fosters scholarly inquiry and a working understanding of critical components of leadership.,education-training,11903.0, year,Online,2.0,,,,,"72,000",86.0,501,94,,,,,,,,,,,No
1422,School Psychology,The University of Iowa,The University of Iowa 's School Psychology program is a doctoral program with an inclusive EdS degree.,education-training,28973.0, year,Iowa City,,Iowa,Johnson,41.6559,-91.5303,"72,000",86.0,1400,1800,,,,,37862.0,32713.0,4010.0,7374.0,5356.0,3416.0,No
1423,Counselor Education and Supervision,Grand Canyon University,The Doctor of Philosophy Counselor Education and Supervision program at Grand Canyon University gives learners the theoretical and practical background knowledge to teach counseling students and supervise clinical counselors.,education-training,40760.0, full,Online,2.0,,,,,"72,000",86.0,1400,262,,,,,,,,,,,No
1424,Educational Leadership and Policy Studies,The University of Vermont,Welcome and thank you for your interest in The University of Vermont's Ed.D. (Doctorate in Educational Leadership and Policy Studies) program.,education-training,16944.0, year,Burlington,7.0,North Carolina,Alamance,36.076,-79.4685,"72,000",86.0,1400,1800,,,,,39172.0,35012.0,3926.0,9997.0,5477.0,3049.0,No
1425,Student Affairs Leadership,University of Georgia,We offer our graduate students a phd degree in Student Affairs Leadership at the University of Georgia.,education-training,,,Multiple locations,3.0,,,,,"72,000",86.0,1400,52,4.2,45000.0,31000.0,37471.0,,,,,,,No
1426,Teacher Leadership,Maryville University,"Develop the expertise to take on new roles, understand the dynamics involved in teacher change, and lead positive organizational change around critical teacher leadership issues with the Teacher Leadership at Maryville University.",education-training,,,Saint Louis,2.5,,,,,"72,000",86.0,1400,332,,,,,,,,,,,No
1427,Curriculum and Instruction - Math Education,Louisiana State University,"The Curriculum and Instruction - Math Education program at Louisiana State University requires (90) hours beyond the bachelor’s, at least twelve (12) of which are to be taken outside the School of Education.",education-training,27077.0, year,Baton Rouge,,Louisiana,East Baton Rouge,30.442,-91.1311,"72,000",86.0,501,94,,,,,39661.0,32993.0,3926.0,8299.0,5477.0,3274.0,No
1428,Kinesiology - Sport Management,Louisiana State University,The Kinesiology - Sport Management program at Louisiana State University is offered by the School of Kinesiology as a degree program which focuses on developing a variety of academic skills to help students become successful in academic and/or scholarly endeavors.,education-training,27077.0, year,Baton Rouge,4.0,Louisiana,East Baton Rouge,30.442,-91.1311,"72,000",86.0,501,94,,,,,39661.0,32993.0,3926.0,8299.0,5477.0,3274.0,No
1429,Coaching,Fielding Graduate University,The doctoral concentration in Coaching at Fielding Graduate University offers an interdisciplinary approach to integrating research-based coaching theory with professional practice in organizational and individual coaching.,education-training,,,Santa Barbara,3.0,California,Santa Barbara,34.4285,-119.7202,"72,000",86.0,1400,1292,,,,,45119.0,44175.0,4686.0,17076.0,5316.0,3136.0,No
1430,Educational Leadership,University of Washington,"The Ed.D. program in Educational Leadership from University of Washington aims to prepare and strengthen educator and community leadership through community grounded approaches, ancestral knowledge, relational learning, disrupting and dismantling systemic oppression and foster healing.",education-training,31529.0, year,Seattle,,Washington,King,47.6211,-122.3244,"72,000",86.0,1400,7,4.2,50000.0,31000.0,39715.0,40673.0,40722.0,4686.0,15076.0,5316.0,2779.0,No
1431,Special Education,Regent University,"If you’re an educational professional seeking a career as a university faculty member or senior educational administrator in the in-demand arena of special education, then this path will help you achieve your goal and make a big impact too. We offer a phd in Special Education at Regent University.",education-training,9857.0, year,Online,5.0,,,,,"72,000",86.0,1400,469,,,,,,,,,,,No
1432,Educational Technology,University of Florida,"The Educational Technology program of the University of Florida is a campus-based program designed to prepare stewards of the discipline. These students desire to work as researchers and university faculty and embrace scholarship to address important societal problems and create and disseminate new knowledge, in part, via collaboration between and among disciplines.",education-training,2472.0, year,Gainesville,4.0,Florida,Alachua,29.6804,-82.3459,"72,000",86.0,1400,26,4.2,48000.0,30000.0,38382.0,38959.0,36848.0,3926.0,12221.0,5477.0,3184.0,Yes
1433,Teaching and Learning - Adult Learning (Qualitative Research),Grand Canyon University,"The Doctor of Education (EdD) in Teaching and Learning - Adult Learning (Qualitative Research) degree from Grand Canyon University is designed for those who wish to not only teach, but to lead collegiate and adult learners.",education-training,39445.0, full,Online,2.0,,,,,"72,000",86.0,1400,262,,,,,,,,,,,No
1434,Clinical Psychology (Health Care Emphasis),Pace University,"Within a biopsychosocial framework, the Clinical Psychology (Health Care Emphasis) program from Pace University prepares you for a bright future as a research scientist or clinician.",education-training,,,New York City,4.0,,,,,"72,000",86.0,1400,213,,,,,,,,,,,No
1435,Education,University of Houston,The Executive Doctor of Education Degree (Ed.D.) in Professional Leadership with an Emphasis in Health Science Education from University of Houston prepares students for professional and administrative leadership positions in a variety of academic healthcare settings.,education-training,8384.0, year,Houston,5.0,Texas,Harris,29.786,-95.3885,"72,000",86.0,1400,78,4.1,50000.0,32000.0,39767.0,38452.0,34931.0,3926.0,10745.0,5477.0,3058.0,Yes
1436,Educational Leadership,Maryville University,"Maryville University’s Doctor of Education program in Educational Leadership s designed for individuals currently working in the field, who have earned a master’s degree and obtained initial licensure for principal.",education-training,,,Saint Louis,7.0,,,,,"72,000",86.0,1400,332,,,,,,,,,,,No
1437,Coaching and Teaching Studies,West Virginia University,"The Coaching and Teaching Studies PhD is a research doctorate at West Virginia University, the purpose of which is to prepare program graduates for careers as researchers in university, government, not-for-profit and industry settings.",education-training,23982.0, year,Morgantown,5.0,West Virginia,Monongalia,39.6383,-79.9464,"72,000",86.0,601,116,4.1,47000.0,29000.0,36843.0,36843.0,32381.0,3926.0,7522.0,5477.0,3375.0,Yes
